fax,name,url,phone,address,email
 ,  Colm Holmes & Associates,http://www.eplanning.ie/LouthCC/AppFileRefDetails/1818/0,087 9793339,"Bearna,Jenkinstown,Dundalk,County Louth",  
 ,  Gerry McManus,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/171893/0,087-2837012,"Rockmount,Claregalway,Co Galway, ",  
 ,    4Site,http://www.eplanning.ie/LongfordCC/AppFileRefDetails/1817/0,014825890,"4Site House,Raheen Industrial Estate,Co. Limerick, ",  
,c/o   ETM Chartered Engineers,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/171891/0,,"Oughterard,Co. Galway, , ",
 ,    Cunningham Design & Planning Limited,http://www.eplanning.ie/LongfordCC/AppFileRefDetails/1816/0, 0433340450/ 0878509554,"Consulting Engineers,,Block C, ,N4 Axis Centre,,Longford.",  
 ,    C/O FINGLETON WHITE,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1818/0,05786 65400,"BRIDGE STREET CENTRE,PORTLAOISE, CO. LAOIS, , ",  
,  David Leonard,http://www.eplanning.ie/LongfordCC/AppFileRefDetails/189/0,043 6683911,"Leitrim,Dring,Co. Longford, ",  
 ,"  Michael Hennessy, Advanced Planning & Design Services",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1817/0,086-1701549,"Dorrary,,Carrick on Shannon,,Co Roscommon., ",  
 ,  DERMOT KEYES,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1817/0, ,"KEYES CONSULTING LIMITED,O'MOORE STREET,TULLAMORE,CO OFFALY",  
 ,"  Mary O'Hara,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1814/0, ,"Civil Engineer,,11 Erris View,,Boyle,,Co. Roscommon.",  
 ,c/o Paul Feeney,http://www.eplanning.ie/GalwayCC/AppFileRefDetails/171892/0, ,"Unit 1 Riveroaks,Claregalway,Co Galway, ",  
 ,  Christopher Kinghan & Associates  ,http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1816/0, ,"Chartered Building Surveyors,Feahoe,Coolderry P O,Carrickmacross, Co. Monaghan",  
 ,    Cunningham Design & Planning Limited,http://www.eplanning.ie/LongfordCC/AppFileRefDetails/188/0, 0433340450/ 0878509554,"Consulting Engineers,,Block C, ,N4 Axis Centre,,Longford.",  
 ,  JOE BRADY,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1827/0, ,"11 CHANCERY PARK COURT,TULLAMORE, CO. OFFALY, , ",  
 ,  DERMOT KEYES,http://www.eplanning.ie/OffalyCC/AppFileRefDetails/1826/0, ,"KEYES CONSULTING LIMITED,O'MOORE STREET,TULLAMORE,CO OFFALY",  
 ,    Larkin Associates Architects,http://www.eplanning.ie/CarlowCC/AppFileRefDetails/189/0, ,"1 a St Canice's Court,Dean Street,Kilkenny, ",  
 ,  Joe Carty,http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1822/0, ,"Kilconnell,,Ballinasloe,,Co Galway., ",  
090-6634423,"    Collins Boyd Engineering Limited,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1826/0,090-6634421,"Galway Road,,Roscommon., , ",  
 ,    Strutec,http://www.eplanning.ie/CarlowCC/AppFileRefDetails/187/0, ,"Architectural and Engineering Consultants,Garryhill,Bagenalstown,Co.Carlow",  
 ,"    Nicholas O'Dwyer Ltd.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1823/0,01-2969000,"c/o Ciaran Duignan,,Unit E4, Nutgrove Office Park,Nutgrove Avenue,,Dublin 14.",  
0904 46253,Mr  John  Murphy ,http://www.eplanning.ie/CarlowCC/AppFileRefDetails/188/0,0904 46253,"Ballyteige,Rathdrum,Co.Wicklow, ",  
044-44573,"    ORS Consulting Eng.,",http://www.eplanning.ie/RoscommonCC/AppFileRefDetails/1832/0,044-42518,"Marlinstown Office Park,,Marlinstown, Mullingar,,Co. Westmeath., ",  
